Reporting starts,Reporting ends,Campaign name,Reach,Impressions,Link clicks,Landing page views,Post engagement,3-second video plays,ThruPlays,Post comments,Post saves,Post reactions,Post shares,Video plays at 50%,Leads,Amount Spent
31/12/2021,31/12/2021,0016_CPE_Egypt_Dec'21,82607,108515,5,,3671,,,31,7,2601,20,,,442.86
31/12/2021,31/12/2021,0016_Egypt_CPC_Dec'21,63441,68432,51,6,3490,3397,325,,3,39,,565,,94.85
31/12/2021,31/12/2021,0016_CPLPV_Egypt_Dec'21,16064,16850,28,17,50,,,1,1,17,3,,,72.3
31/12/2021,31/12/2021,0016_Egypt_Remarketing_Dec'21,18664,21406,12,1,19,,,2,,5,,,,43.62
31/12/2021,31/12/2021,0016_CPC_KSA_Dec'21,159934,166541,268,105,355,,,,13,58,16,,,771.16
31/12/2021,31/12/2021,0016_CPMR_Auction_Egypt_Dec'21,310336,315415,927,95,24503,23466,2271,21,6,77,6,5836,1,260.15
31/12/2021,31/12/2021,0016_Egypt_CPA_PreOrder_Dec'21,4994,5244,8,5,18,,,,1,8,1,,1,44.28
31/12/2021,31/12/2021,0016_Egypt_CPA_CRM_Dec'21,6062,6181,11,9,17,,,,1,5,,,,44.82
31/12/2021,31/12/2021,0016_CPMR_KSA_Dec'21,74625,75846,14,3,4706,4682,340,,1,9,,528,,207.21
31/12/2021,31/12/2021,New campaign,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_TEST_UAE_Nov'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPLPV_KSA_Nov'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_KSA_Nov'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_Auction_Egypt_Nov'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_CPC_Nov'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPE_Egypt_Nov'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_Remarketing_Nov'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPLPV_Egypt_Nov'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_CPA_CRM_Nov'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_CPA_PreOrder_Nov'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Remarketing_CPC_KSA_Oct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_KSA_Oct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPLPV_KSA_Oct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_Auction_Egypt_Oct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_CPC_Oct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_Remarketing_Oct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_R&F_Egypt_Oct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPLPV_Egypt_Oct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_CPA_PreOrder_Oct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_CPA_CRM_Oct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPE_Egypt_Oct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPV_ND_KSA_Sept'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_KSA_ND_Sep'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_CPA_CRM_Sept'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPV_KSA_Sept'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPE_Egypt_Sept'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_Remarketing_Sept'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPC_KSA_Sept'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_Remarketing_Conversion_Sept'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPC_Egypt_Sept'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPLPV_Egypt_Sept'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_CPA_PreOrder_Sept'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_Egypt_Sept'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Egypt_CPA_Aug'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPLPV_KSA_Aug'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Remarketing_CPC_KSA_Aug'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPC_KSA_Aug'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPLPV_Egypt_Aug'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_KSA_Aug'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPE_Egypt_Aug'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPC_Egypt_Aug'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_Egypt_Aug'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Remarketing_UAE_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPL_Qatar_July'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_UAE_JulyAugSeptOct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPA_UAE_Conversions_Orders_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPLPV_UAE _JulyAugSepOct'21_Copy,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPLPV_UAE_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Awareness_CPC_UAE_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPC_Egypt_July'21 – Copy,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPC_Egypt_July'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPE_Egypt_July'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPL_Egypt_July'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPMR_Egypt_July'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_KSA_July'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_KSA_June'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPA_Qatar_May'21_SignUps,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_Remarketing_Qatar_May'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPA_Qatar_May'21_LPV,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPC_Egypt_June'21_ABTest,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPC_Egypt_June'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPMR_Egypt_June'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPE_Egypt_June'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPL_Egypt_June'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPLPV_Qatar_May'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_CPMR_Qatar_May'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPC_ABTest_Egypt_May'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPC_Egypt_May'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPMR_Egypt_May'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPE_Egypt_May'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPL_Egypt_May'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPL_Egypt_April'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPC_Egypt_April'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPMR_Egypt_April'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPE_Egypt_April'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPL_Egypt_Mar'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPMR_Egypt_Mar'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPC_Egypt_Mar'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPE_Egypt_Mar'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPMR_Egypt_Feb'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPC_Egypt_Feb'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPL_Egypt_Feb'21_02,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPL_Egypt_Feb'21_01,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_L_CPE_Egypt_Feb'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_PL_CPC_Egypt_Jan'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_PL_CPMR_Egypt_Jan'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_PL_CPL_Egypt_Jan'21,0,0,,,,,,,,,,,,0
31/12/2021,31/12/2021,0016_PL_CPE_Egypt_Jan'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPE_Egypt_Dec'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_CPC_Dec'21,53360,55904,85,13,3014,2891,282,,4,33,1,493,,98.36
30/12/2021,30/12/2021,0016_CPLPV_Egypt_Dec'21,14708,15247,21,14,41,,,1,3,13,3,,,89.2
30/12/2021,30/12/2021,0016_Egypt_Remarketing_Dec'21,16516,18439,14,4,25,,,,2,9,,,,44.84
30/12/2021,30/12/2021,0016_CPC_KSA_Dec'21,158177,158945,311,119,375,,,,12,41,11,,,731.97
